Model,Features,Accuracy (%),Macro F1 (%),Accuracy 95% CI,Macro F1 95% CI
Fusion-LSTM without derivatives,10,78.73 ± 5.57,78.77 ± 5.73,75.28–82.18,75.21–82.32
Fusion-LSTM with derivatives,20,79.32 ± 6.35,79.40 ± 6.67,75.38–83.25,75.27–83.54
