configuration,seed,true_id,pred_id,true_class,pred_class,count
Sensor-only LSTM,47,2,3,Flash-burr,Surface-groove/void,4
Sensor-only LSTM,47,3,0,Surface-groove/void,Good,209
Sensor-only LSTM,47,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,47,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,47,3,3,Surface-groove/void,Surface-groove/void,440
Sensor-only LSTM,48,0,0,Good,Good,180
Sensor-only LSTM,48,0,1,Good,Burr,64
Sensor-only LSTM,48,0,2,Good,Flash-burr,26
Sensor-only LSTM,48,0,3,Good,Surface-groove/void,256
Sensor-only LSTM,48,1,0,Burr,Good,284
Sensor-only LSTM,48,1,1,Burr,Burr,39
Sensor-only LSTM,48,1,2,Burr,Flash-burr,483
Sensor-only LSTM,48,1,3,Burr,Surface-groove/void,142
Sensor-only LSTM,48,2,0,Flash-burr,Good,1
Sensor-only LSTM,48,2,1,Flash-burr,Burr,12
Sensor-only LSTM,48,2,2,Flash-burr,Flash-burr,415
Sensor-only LSTM,48,2,3,Flash-burr,Surface-groove/void,30
Sensor-only LSTM,48,3,0,Surface-groove/void,Good,2
Sensor-only LSTM,48,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,48,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,48,3,3,Surface-groove/void,Surface-groove/void,647
Sensor-only LSTM,49,0,0,Good,Good,289
Sensor-only LSTM,49,0,1,Good,Burr,40
Sensor-only LSTM,49,0,2,Good,Flash-burr,26
Sensor-only LSTM,49,0,3,Good,Surface-groove/void,171
Sensor-only LSTM,49,1,0,Burr,Good,256
Sensor-only LSTM,49,1,1,Burr,Burr,89
Sensor-only LSTM,49,1,2,Burr,Flash-burr,490
Sensor-only LSTM,49,1,3,Burr,Surface-groove/void,113
Sensor-only LSTM,49,2,0,Flash-burr,Good,13
Sensor-only LSTM,49,2,1,Flash-burr,Burr,1
Sensor-only LSTM,49,2,2,Flash-burr,Flash-burr,424
Sensor-only LSTM,49,2,3,Flash-burr,Surface-groove/void,20
Sensor-only LSTM,49,3,0,Surface-groove/void,Good,33
Sensor-only LSTM,49,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,49,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,49,3,3,Surface-groove/void,Surface-groove/void,616
Sensor-only LSTM,50,0,0,Good,Good,155
Sensor-only LSTM,50,0,1,Good,Burr,67
Sensor-only LSTM,50,0,2,Good,Flash-burr,26
Sensor-only LSTM,50,0,3,Good,Surface-groove/void,278
Sensor-only LSTM,50,1,0,Burr,Good,227
Sensor-only LSTM,50,1,1,Burr,Burr,100
Sensor-only LSTM,50,1,2,Burr,Flash-burr,484
Sensor-only LSTM,50,1,3,Burr,Surface-groove/void,137
Sensor-only LSTM,50,2,0,Flash-burr,Good,1
Sensor-only LSTM,50,2,1,Flash-burr,Burr,71
Sensor-only LSTM,50,2,2,Flash-burr,Flash-burr,365
Sensor-only LSTM,50,2,3,Flash-burr,Surface-groove/void,21
Sensor-only LSTM,50,3,0,Surface-groove/void,Good,9
Sensor-only LSTM,50,3,1,Surface-groove/void,Burr,4
Sensor-only LSTM,50,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,50,3,3,Surface-groove/void,Surface-groove/void,636
Sensor-only LSTM,51,0,0,Good,Good,63
