configuration,seed,true_id,pred_id,true_class,pred_class,count
Fusion-LSTM without derivatives,49,3,0,Surface-groove/void,Good,0
Fusion-LSTM without derivatives,49,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,49,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,49,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM without derivatives,50,0,0,Good,Good,479
Fusion-LSTM without derivatives,50,0,1,Good,Burr,24
Fusion-LSTM without derivatives,50,0,2,Good,Flash-burr,6
Fusion-LSTM without derivatives,50,0,3,Good,Surface-groove/void,17
Fusion-LSTM without derivatives,50,1,0,Burr,Good,169
Fusion-LSTM without derivatives,50,1,1,Burr,Burr,648
Fusion-LSTM without derivatives,50,1,2,Burr,Flash-burr,95
Fusion-LSTM without derivatives,50,1,3,Burr,Surface-groove/void,36
Fusion-LSTM without derivatives,50,2,0,Flash-burr,Good,12
Fusion-LSTM without derivatives,50,2,1,Flash-burr,Burr,15
Fusion-LSTM without derivatives,50,2,2,Flash-burr,Flash-burr,410
Fusion-LSTM without derivatives,50,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,50,3,0,Surface-groove/void,Good,0
Fusion-LSTM without derivatives,50,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,50,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,50,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM without derivatives,51,0,0,Good,Good,466
Fusion-LSTM without derivatives,51,0,1,Good,Burr,49
Fusion-LSTM without derivatives,51,0,2,Good,Flash-burr,0
Fusion-LSTM without derivatives,51,0,3,Good,Surface-groove/void,11
Fusion-LSTM without derivatives,51,1,0,Burr,Good,196
Fusion-LSTM without derivatives,51,1,1,Burr,Burr,664
Fusion-LSTM without derivatives,51,1,2,Burr,Flash-burr,83
Fusion-LSTM without derivatives,51,1,3,Burr,Surface-groove/void,5
Fusion-LSTM without derivatives,51,2,0,Flash-burr,Good,0
Fusion-LSTM without derivatives,51,2,1,Flash-burr,Burr,24
Fusion-LSTM without derivatives,51,2,2,Flash-burr,Flash-burr,413
Fusion-LSTM without derivatives,51,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM without derivatives,51,3,0,Surface-groove/void,Good,0
Fusion-LSTM without derivatives,51,3,1,Surface-groove/void,Burr,0
Fusion-LSTM without derivatives,51,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM without derivatives,51,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM with derivatives,42,0,0,Good,Good,468
Fusion-LSTM with derivatives,42,0,1,Good,Burr,44
Fusion-LSTM with derivatives,42,0,2,Good,Flash-burr,0
Fusion-LSTM with derivatives,42,0,3,Good,Surface-groove/void,14
Fusion-LSTM with derivatives,42,1,0,Burr,Good,145
Fusion-LSTM with derivatives,42,1,1,Burr,Burr,715
Fusion-LSTM with derivatives,42,1,2,Burr,Flash-burr,36
Fusion-LSTM with derivatives,42,1,3,Burr,Surface-groove/void,52
Fusion-LSTM with derivatives,42,2,0,Flash-burr,Good,0
Fusion-LSTM with derivatives,42,2,1,Flash-burr,Burr,39
Fusion-LSTM with derivatives,42,2,2,Flash-burr,Flash-burr,398
Fusion-LSTM with derivatives,42,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,42,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,42,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,42,3,2,Surface-groove/void,Flash-burr,3
Fusion-LSTM with derivatives,42,3,3,Surface-groove/void,Surface-groove/void,646
Fusion-LSTM with derivatives,43,0,0,Good,Good,481
Fusion-LSTM with derivatives,43,0,1,Good,Burr,19
Fusion-LSTM with derivatives,43,0,2,Good,Flash-burr,4
Fusion-LSTM with derivatives,43,0,3,Good,Surface-groove/void,22
Fusion-LSTM with derivatives,43,1,0,Burr,Good,265
Fusion-LSTM with derivatives,43,1,1,Burr,Burr,590
Fusion-LSTM with derivatives,43,1,2,Burr,Flash-burr,62
Fusion-LSTM with derivatives,43,1,3,Burr,Surface-groove/void,31
Fusion-LSTM with derivatives,43,2,0,Flash-burr,Good,7
Fusion-LSTM with derivatives,43,2,1,Flash-burr,Burr,27
Fusion-LSTM with derivatives,43,2,2,Flash-burr,Flash-burr,403
Fusion-LSTM with derivatives,43,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,43,3,0,Surface-groove/void,Good,1
Fusion-LSTM with derivatives,43,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,43,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,43,3,3,Surface-groove/void,Surface-groove/void,648
Fusion-LSTM with derivatives,44,0,0,Good,Good,467
Fusion-LSTM with derivatives,44,0,1,Good,Burr,13
Fusion-LSTM with derivatives,44,0,2,Good,Flash-burr,23
Fusion-LSTM with derivatives,44,0,3,Good,Surface-groove/void,23
Fusion-LSTM with derivatives,44,1,0,Burr,Good,248
Fusion-LSTM with derivatives,44,1,1,Burr,Burr,431
Fusion-LSTM with derivatives,44,1,2,Burr,Flash-burr,215
Fusion-LSTM with derivatives,44,1,3,Burr,Surface-groove/void,54
Fusion-LSTM with derivatives,44,2,0,Flash-burr,Good,6
Fusion-LSTM with derivatives,44,2,1,Flash-burr,Burr,18
Fusion-LSTM with derivatives,44,2,2,Flash-burr,Flash-burr,413
Fusion-LSTM with derivatives,44,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,44,3,0,Surface-groove/void,Good,14
Fusion-LSTM with derivatives,44,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,44,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,44,3,3,Surface-groove/void,Surface-groove/void,635
Fusion-LSTM with derivatives,45,0,0,Good,Good,352
Fusion-LSTM with derivatives,45,0,1,Good,Burr,12
Fusion-LSTM with derivatives,45,0,2,Good,Flash-burr,26
Fusion-LSTM with derivatives,45,0,3,Good,Surface-groove/void,136
Fusion-LSTM with derivatives,45,1,0,Burr,Good,100
Fusion-LSTM with derivatives,45,1,1,Burr,Burr,482
Fusion-LSTM with derivatives,45,1,2,Burr,Flash-burr,264
Fusion-LSTM with derivatives,45,1,3,Burr,Surface-groove/void,102
Fusion-LSTM with derivatives,45,2,0,Flash-burr,Good,3
Fusion-LSTM with derivatives,45,2,1,Flash-burr,Burr,15
Fusion-LSTM with derivatives,45,2,2,Flash-burr,Flash-burr,419
Fusion-LSTM with derivatives,45,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,45,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,45,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,45,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,45,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM with derivatives,46,0,0,Good,Good,374
Fusion-LSTM with derivatives,46,0,1,Good,Burr,10
Fusion-LSTM with derivatives,46,0,2,Good,Flash-burr,26
Fusion-LSTM with derivatives,46,0,3,Good,Surface-groove/void,116
Fusion-LSTM with derivatives,46,1,0,Burr,Good,111
Fusion-LSTM with derivatives,46,1,1,Burr,Burr,261
Fusion-LSTM with derivatives,46,1,2,Burr,Flash-burr,484
Fusion-LSTM with derivatives,46,1,3,Burr,Surface-groove/void,92
Fusion-LSTM with derivatives,46,2,0,Flash-burr,Good,1
Fusion-LSTM with derivatives,46,2,1,Flash-burr,Burr,21
Fusion-LSTM with derivatives,46,2,2,Flash-burr,Flash-burr,415
Fusion-LSTM with derivatives,46,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,46,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,46,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,46,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,46,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM with derivatives,47,0,0,Good,Good,459
Fusion-LSTM with derivatives,47,0,1,Good,Burr,21
Fusion-LSTM with derivatives,47,0,2,Good,Flash-burr,20
Fusion-LSTM with derivatives,47,0,3,Good,Surface-groove/void,26
Fusion-LSTM with derivatives,47,1,0,Burr,Good,210
Fusion-LSTM with derivatives,47,1,1,Burr,Burr,510
Fusion-LSTM with derivatives,47,1,2,Burr,Flash-burr,170
Fusion-LSTM with derivatives,47,1,3,Burr,Surface-groove/void,58
Fusion-LSTM with derivatives,47,2,0,Flash-burr,Good,2
Fusion-LSTM with derivatives,47,2,1,Flash-burr,Burr,28
Fusion-LSTM with derivatives,47,2,2,Flash-burr,Flash-burr,407
Fusion-LSTM with derivatives,47,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,47,3,0,Surface-groove/void,Good,7
Fusion-LSTM with derivatives,47,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,47,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,47,3,3,Surface-groove/void,Surface-groove/void,642
Fusion-LSTM with derivatives,48,0,0,Good,Good,465
Fusion-LSTM with derivatives,48,0,1,Good,Burr,39
Fusion-LSTM with derivatives,48,0,2,Good,Flash-burr,0
Fusion-LSTM with derivatives,48,0,3,Good,Surface-groove/void,22
Fusion-LSTM with derivatives,48,1,0,Burr,Good,155
Fusion-LSTM with derivatives,48,1,1,Burr,Burr,664
Fusion-LSTM with derivatives,48,1,2,Burr,Flash-burr,82
Fusion-LSTM with derivatives,48,1,3,Burr,Surface-groove/void,47
Fusion-LSTM with derivatives,48,2,0,Flash-burr,Good,0
Fusion-LSTM with derivatives,48,2,1,Flash-burr,Burr,24
Fusion-LSTM with derivatives,48,2,2,Flash-burr,Flash-burr,413
Fusion-LSTM with derivatives,48,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,48,3,0,Surface-groove/void,Good,34
Fusion-LSTM with derivatives,48,3,1,Surface-groove/void,Burr,1
Fusion-LSTM with derivatives,48,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,48,3,3,Surface-groove/void,Surface-groove/void,614
Fusion-LSTM with derivatives,49,0,0,Good,Good,480
Fusion-LSTM with derivatives,49,0,1,Good,Burr,40
Fusion-LSTM with derivatives,49,0,2,Good,Flash-burr,1
Fusion-LSTM with derivatives,49,0,3,Good,Surface-groove/void,5
Fusion-LSTM with derivatives,49,1,0,Burr,Good,188
Fusion-LSTM with derivatives,49,1,1,Burr,Burr,692
Fusion-LSTM with derivatives,49,1,2,Burr,Flash-burr,61
Fusion-LSTM with derivatives,49,1,3,Burr,Surface-groove/void,7
Fusion-LSTM with derivatives,49,2,0,Flash-burr,Good,0
Fusion-LSTM with derivatives,49,2,1,Flash-burr,Burr,28
Fusion-LSTM with derivatives,49,2,2,Flash-burr,Flash-burr,409
Fusion-LSTM with derivatives,49,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,49,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,49,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,49,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,49,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM with derivatives,50,0,0,Good,Good,486
Fusion-LSTM with derivatives,50,0,1,Good,Burr,12
Fusion-LSTM with derivatives,50,0,2,Good,Flash-burr,25
Fusion-LSTM with derivatives,50,0,3,Good,Surface-groove/void,3
Fusion-LSTM with derivatives,50,1,0,Burr,Good,192
Fusion-LSTM with derivatives,50,1,1,Burr,Burr,508
Fusion-LSTM with derivatives,50,1,2,Burr,Flash-burr,247
Fusion-LSTM with derivatives,50,1,3,Burr,Surface-groove/void,1
Fusion-LSTM with derivatives,50,2,0,Flash-burr,Good,7
Fusion-LSTM with derivatives,50,2,1,Flash-burr,Burr,20
Fusion-LSTM with derivatives,50,2,2,Flash-burr,Flash-burr,410
Fusion-LSTM with derivatives,50,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,50,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,50,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,50,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,50,3,3,Surface-groove/void,Surface-groove/void,649
Fusion-LSTM with derivatives,51,0,0,Good,Good,397
Fusion-LSTM with derivatives,51,0,1,Good,Burr,37
Fusion-LSTM with derivatives,51,0,2,Good,Flash-burr,0
Fusion-LSTM with derivatives,51,0,3,Good,Surface-groove/void,92
Fusion-LSTM with derivatives,51,1,0,Burr,Good,146
Fusion-LSTM with derivatives,51,1,1,Burr,Burr,674
Fusion-LSTM with derivatives,51,1,2,Burr,Flash-burr,54
Fusion-LSTM with derivatives,51,1,3,Burr,Surface-groove/void,74
Fusion-LSTM with derivatives,51,2,0,Flash-burr,Good,4
Fusion-LSTM with derivatives,51,2,1,Flash-burr,Burr,34
Fusion-LSTM with derivatives,51,2,2,Flash-burr,Flash-burr,399
Fusion-LSTM with derivatives,51,2,3,Flash-burr,Surface-groove/void,21
Fusion-LSTM with derivatives,51,3,0,Surface-groove/void,Good,0
Fusion-LSTM with derivatives,51,3,1,Surface-groove/void,Burr,0
Fusion-LSTM with derivatives,51,3,2,Surface-groove/void,Flash-burr,0
Fusion-LSTM with derivatives,51,3,3,Surface-groove/void,Surface-groove/void,649
