configuration,number_of_features,number_of_seeds,accuracy_mean,accuracy_sd,accuracy_ci95_lower,accuracy_ci95_upper,macro_precision_mean,macro_precision_sd,macro_precision_ci95_lower,macro_precision_ci95_upper,macro_recall_mean,macro_recall_sd,macro_recall_ci95_lower,macro_recall_ci95_upper,macro_f1_mean,macro_f1_sd,macro_f1_ci95_lower,macro_f1_ci95_upper,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci95_lower,weighted_f1_ci95_upper
Sensor-only LSTM,8,10,50.35645098798915,3.439924276818021,48.22436383211166,52.488538143866634,48.04747999670148,6.727090907032627,43.87798585522818,52.216974138174784,57.31582764317899,4.221221743969234,54.69948730014309,59.93216798621489,47.03827920110135,3.4887035116781804,44.8759583622269,49.200600039975804,42.93893921850025,3.5935193543359785,40.71165284728278,45.166225589717726
Vision-only LSTM,12,10,77.00891127469973,4.454802483050369,74.24779608966762,79.77002645973184,77.73239095463049,4.639332014653286,74.85690318097424,80.60787872828674,79.19187613065318,4.269026270243161,76.54590623526106,81.83784602604531,77.50766935614828,4.459962713209403,74.74335582732773,80.27198288496884,76.49725070611568,4.73015899629447,73.56546778600249,79.42903362622887
Fusion-LSTM without derivatives,10,10,78.72917473847346,5.569388524464687,75.27723196777775,82.18111750916917,79.18356909190462,4.448197851088895,76.42654750017317,81.94059068363606,81.88682922220637,4.345918224252764,79.19320119996564,84.5804572444471,78.76552553757827,5.731393175955189,75.21317124359321,82.31787983156333,77.94760673364632,6.278331845979661,74.05625633987195,81.8389571274207
Fusion-LSTM with derivatives,20,10,79.31809376210771,6.350471287288392,75.38203087937448,83.25415664484093,80.32871610197077,4.837847774757812,77.33018698545403,83.3272452184875,82.69817081145082,4.920626665823074,79.64833480669604,85.7480068162056,79.40254304774386,6.668430041592161,75.26940728735504,83.53567880813269,78.46523584878761,7.281359455960783,73.95220250151246,82.97826919606277
