configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Fusion-LSTM without derivatives,10,1,48,10,0.47061179028492056,0.8723849372384938,0.6356208575517481,0.6297352108364582,0.629840052602501,0.854646106031527
Fusion-LSTM without derivatives,10,1,49,3,0.4115675598757822,0.8577405857740585,0.6487880050655381,0.5915665416698553,0.6028329863745872,0.8422002182341648
Fusion-LSTM without derivatives,10,1,50,3,0.43271523236103776,0.8702928870292888,0.6663844785443644,0.6060304584066734,0.6168329460799579,0.8510750152367323
Fusion-LSTM without derivatives,10,1,51,2,0.3787961266700577,0.8472803347280334,0.6084830897606228,0.5967513583837147,0.5988024868949618,0.831400753802771
Fusion-LSTM without derivatives,10,2,42,1,0.5890104239303658,0.8553459119496856,0.43824339207048457,0.49866310160427807,0.465014630482519,0.8017634980917995
Fusion-LSTM without derivatives,10,2,43,1,0.5035537676342621,0.7421383647798742,0.5049954412508124,0.5236528177704648,0.49275517082905146,0.7541778551507876
Fusion-LSTM without derivatives,10,2,44,1,0.6773935822572873,0.8553459119496856,0.4366421524010631,0.49866310160427807,0.46399925241796064,0.80017124905136
Fusion-LSTM without derivatives,10,2,45,28,0.888263051866777,0.8553459119496856,0.43987154333098877,0.49866310160427807,0.46603956504650856,0.8033707330055608
Fusion-LSTM without derivatives,10,2,46,2,0.47042230486097397,0.8763102725366876,0.5620771241279008,0.5467400246812011,0.5388799887444802,0.8411027045770415
Fusion-LSTM without derivatives,10,2,47,2,0.594131504276015,0.8553459119496856,0.4390540615265516,0.49866310160427807,0.46552589478967343,0.8025652291227252
Fusion-LSTM without derivatives,10,2,48,1,0.6247487062383161,0.8553459119496856,0.43506716256228783,0.49866310160427807,0.46299329781571835,0.798593777264196
Fusion-LSTM without derivatives,10,2,49,1,0.480332345027903,0.8553459119496856,0.4304933920704846,0.49866310160427807,0.4600306809436684,0.7939479965088639
Fusion-LSTM without derivatives,10,2,50,1,0.5433844106501173,0.8553459119496856,0.4304933920704846,0.49866310160427807,0.4600306809436684,0.7939479965088639
Fusion-LSTM without derivatives,10,2,51,1,0.612286710488101,0.8553459119496856,0.43987154333098877,0.49866310160427807,0.46603956504650856,0.8033707330055608
Fusion-LSTM without derivatives,10,3,42,1,0.5295860802352553,0.0255863539445629,0.25587606837606836,0.2505787037037037,0.012636989108371462,0.005331770296452543
Fusion-LSTM without derivatives,10,3,43,4,0.5722609842098484,0.8805970149253731,0.22944444444444445,0.23900462962962962,0.23412698412698413,0.8626256472738348
Fusion-LSTM without derivatives,10,3,44,2,0.5884851151042514,0.6780383795309168,0.23660714285714285,0.1840277777777778,0.20703125,0.7627931769722814
Fusion-LSTM without derivatives,10,3,45,5,0.5797176870909877,0.6183368869936035,0.2353896103896104,0.16782407407407407,0.19594594594594594,0.7219500950844234
Fusion-LSTM without derivatives,10,3,46,4,0.6018678549075777,0.5479744136460555,0.23448905109489052,0.14872685185185186,0.1820113314447592,0.6706089141504133
Fusion-LSTM without derivatives,10,3,47,2,0.5517955294320168,0.7270788912579957,0.23165760869565216,0.19733796296296297,0.213125,0.7852452025586355
Fusion-LSTM without derivatives,10,3,48,7,0.5675946495318063,0.26652452025586354,0.22977941176470587,0.07233796296296297,0.11003521126760564,0.4054175801075108
Fusion-LSTM without derivatives,10,3,49,5,0.5824844937154582,0.8912579957356077,0.22967032967032966,0.24189814814814814,0.23562570462232243,0.8681475854741433
Fusion-LSTM without derivatives,10,3,50,9,0.6061410899557158,0.835820895522388,0.23167848699763594,0.22685185185185186,0.22923976608187135,0.8446190102120975
Fusion-LSTM without derivatives,10,3,51,3,0.5790364009404333,0.8848614072494669,0.2295353982300885,0.24016203703703703,0.23472850678733032,0.8648419183976691
Fusion-LSTM without derivatives,10,4,42,2,0.5439471827363068,0.8981077147016011,0.7089370978539591,0.6748259166874142,0.6909886368625634,0.920438983093929
