configuration,fold,seed,epoch,train_loss,validation_loss
Sensor-only LSTM,1,44,19,0.30061463962181906,2.9498435395381235
Sensor-only LSTM,1,44,20,0.30914452316429636,2.664738119866863
Sensor-only LSTM,1,44,21,0.3074012154216109,2.701544923508692
Sensor-only LSTM,1,44,22,0.29489750745918186,2.8833358354663448
Sensor-only LSTM,1,44,23,0.28753476790616433,2.7230599775629223
Sensor-only LSTM,1,44,24,0.2836159657031701,3.1329260465046644
Sensor-only LSTM,1,44,25,0.27481359307543085,2.4486011590660244
Sensor-only LSTM,1,44,26,0.27661689617390417,2.6503155019360767
Sensor-only LSTM,1,44,27,0.24860484043977063,3.0142948240728997
Sensor-only LSTM,1,44,28,0.2347101982669197,2.8077429952548987
Sensor-only LSTM,1,44,29,0.2178590215770081,3.223303974580715
Sensor-only LSTM,1,44,30,0.20984773930313402,3.4848809429684526
Sensor-only LSTM,1,44,31,0.25228199897950276,3.2621934947165303
Sensor-only LSTM,1,44,32,0.2162220441125709,3.3585559568315184
Sensor-only LSTM,1,44,33,0.20424079422141353,3.307325011622981
Sensor-only LSTM,1,44,34,0.20185187261043,3.648037136850617
Sensor-only LSTM,1,44,35,0.1963772328265772,3.742589829852746
Sensor-only LSTM,1,44,36,0.16522459172601336,4.051780531991203
Sensor-only LSTM,1,44,37,0.15843880663168827,4.1785022691048415
Sensor-only LSTM,1,44,38,0.1537254758426624,4.171264771645424
Sensor-only LSTM,1,44,39,0.1744177914963437,4.267334525315267
Sensor-only LSTM,1,44,40,0.16874090654530355,3.6913401495110816
Sensor-only LSTM,1,44,41,0.1922202571163465,3.845123746922431
Sensor-only LSTM,1,44,42,0.15859327378234886,4.470987365774389
Sensor-only LSTM,1,44,43,0.1551500515231054,2.388722299311146
Sensor-only LSTM,1,44,44,0.1448296782861923,2.6618499386610477
Sensor-only LSTM,1,44,45,0.13945837987891568,3.719784013224098
Sensor-only LSTM,1,44,46,0.1306409707698435,3.7944218655989603
Sensor-only LSTM,1,44,47,0.11054239870217454,4.119317786358063
Sensor-only LSTM,1,44,48,0.1960132805697006,3.2386087977348885
Sensor-only LSTM,1,44,49,0.19537471828645445,4.435634203364514
Sensor-only LSTM,1,44,50,0.2491287674301225,0.8829354328929253
Sensor-only LSTM,1,44,51,0.17277393776002406,2.5905976420428516
Sensor-only LSTM,1,44,52,0.12018318019743189,3.1301937501885355
Sensor-only LSTM,1,44,53,0.12091287508661896,3.4336946015431695
Sensor-only LSTM,1,44,54,0.12615144667003722,3.899409805297602
Sensor-only LSTM,1,44,55,0.12132077450608562,3.6265359394080483
Sensor-only LSTM,1,44,56,0.10385668781319081,3.9290898410716646
Sensor-only LSTM,1,44,57,0.0980645208579441,3.9680191441839345
Sensor-only LSTM,1,44,58,0.10207917493611098,4.435495130389741
Sensor-only LSTM,1,44,59,0.10205248644435722,3.2942822031223797
Sensor-only LSTM,1,44,60,0.09376087707786983,4.373588669350062
Sensor-only LSTM,1,45,1,1.148953224900024,1.0803737490432068
Sensor-only LSTM,1,45,2,0.7016398232214859,1.400653166341082
Sensor-only LSTM,1,45,3,0.6401886340656844,1.3353846370549072
Sensor-only LSTM,1,45,4,0.5299020835174406,1.352804056441009
Sensor-only LSTM,1,45,5,0.3714347475495872,1.2891734677290767
Sensor-only LSTM,1,45,6,0.3499652120166746,1.2313371216351132
Sensor-only LSTM,1,45,7,0.3973367257091832,0.8218355825487172
Sensor-only LSTM,1,45,8,0.37345454551343693,1.3883677247122899
Sensor-only LSTM,1,45,9,0.3483201821058585,1.463329990767333
Sensor-only LSTM,1,45,10,0.3209476602913269,1.4751356993987375
Sensor-only LSTM,1,45,11,0.3183774223040244,1.9056340524423048
Sensor-only LSTM,1,45,12,0.31799888405559396,1.9622310342997376
Sensor-only LSTM,1,45,13,0.338014689282151,1.7619457225192268
Sensor-only LSTM,1,45,14,0.31537436721399703,1.937894204346389
Sensor-only LSTM,1,45,15,0.3206395796450888,1.9195026585390982
Sensor-only LSTM,1,45,16,0.3084505920333909,2.211885167336564
Sensor-only LSTM,1,45,17,0.32423904857072444,2.3623405608740993
Sensor-only LSTM,1,45,18,0.3106205293686481,2.227401151503407
Sensor-only LSTM,1,45,19,0.3081148071042726,2.3348660502793654
Sensor-only LSTM,1,45,20,0.3033923194783787,2.4140594836238547
Sensor-only LSTM,1,45,21,0.3007423333356301,2.5660399993885488
Sensor-only LSTM,1,45,22,0.30244212275941434,2.59080457637395
Sensor-only LSTM,1,45,23,0.30536225370302117,2.6184518078900485
Sensor-only LSTM,1,45,24,0.29799778418567346,2.54288870639771
Sensor-only LSTM,1,45,25,0.3087905476747257,2.559024472937644
Sensor-only LSTM,1,45,26,0.29064991743948776,2.767827314260246
Sensor-only LSTM,1,45,27,0.2968733944136278,3.1266689993425487
Sensor-only LSTM,1,45,28,0.28575831944945407,2.928442643623432
Sensor-only LSTM,1,45,29,0.2884283545822235,2.8815485552359426
Sensor-only LSTM,1,45,30,0.2780132997703142,2.946595910803827
Sensor-only LSTM,1,45,31,0.2805357336228184,2.9484047396128035
Sensor-only LSTM,1,45,32,0.25870826866060753,3.194058713813623
Sensor-only LSTM,1,45,33,0.24973699265373883,3.3037276792826145
Sensor-only LSTM,1,45,34,0.24782249650392146,3.3160426469531448
Sensor-only LSTM,1,45,35,0.2501386501179117,2.6933214731311397
Sensor-only LSTM,1,45,36,0.23567317112785424,3.3570693102147846
Sensor-only LSTM,1,45,37,0.23501692754462783,2.834237771932684
Sensor-only LSTM,1,45,38,0.333517912862339,1.1491070683397338
Sensor-only LSTM,1,45,39,0.2620893931256889,2.0641620544017734
Sensor-only LSTM,1,45,40,0.23561084222822906,2.683902904297571
Sensor-only LSTM,1,45,41,0.23023816539939185,3.039787695530326
Sensor-only LSTM,1,45,42,0.22779095843709263,2.8893960943324513
Sensor-only LSTM,1,45,43,0.24142430193016595,2.976548213472656
Sensor-only LSTM,1,45,44,0.20280648027472245,3.2668861303189516
Sensor-only LSTM,1,45,45,0.21001766480936188,3.2740651473434217
Sensor-only LSTM,1,45,46,0.21104450190272572,3.4043301323924675
Sensor-only LSTM,1,45,47,0.19670368953714512,4.00114616042538
Sensor-only LSTM,1,45,48,0.21830093277776375,3.9415801594529762
Sensor-only LSTM,1,45,49,0.2134478768885942,3.364272727219064
Sensor-only LSTM,1,45,50,0.201668891849553,3.9460574730262317
Sensor-only LSTM,1,45,51,0.19874397886121992,3.9061695678429036
Sensor-only LSTM,1,45,52,0.2205452935410455,4.148889681015874
Sensor-only LSTM,1,45,53,0.21542691905853348,4.388580496424899
Sensor-only LSTM,1,45,54,0.18800808958535117,4.4341788774266435
Sensor-only LSTM,1,45,55,0.17552362494674703,4.567982169817078
Sensor-only LSTM,1,45,56,0.15901441460642574,4.11861250073155
Sensor-only LSTM,1,45,57,0.14101925133045895,4.663523577981525
Sensor-only LSTM,1,45,58,0.1557298275890679,5.044954047356762
Sensor-only LSTM,1,45,59,0.14853912172209,4.767604810043201
Sensor-only LSTM,1,45,60,0.1742009565619085,4.706182307151753
Sensor-only LSTM,1,46,1,1.1889470319319768,1.0466709131964598
Sensor-only LSTM,1,46,2,0.5983741641191246,1.1725747397860642
Sensor-only LSTM,1,46,3,0.44319659049953775,0.975324869843149
Sensor-only LSTM,1,46,4,0.36379523030946176,1.0600209250515111
Sensor-only LSTM,1,46,5,0.39837655135479655,1.3060857281245026
Sensor-only LSTM,1,46,6,0.36061142262204254,1.2086827336054928
Sensor-only LSTM,1,46,7,0.33328744736104876,1.338972534148698
Sensor-only LSTM,1,46,8,0.33950689321367794,1.5423478896825318
Sensor-only LSTM,1,46,9,0.32227641586008104,1.6616319129926853
Sensor-only LSTM,1,46,10,0.3121514464436422,1.6656203181551188
Sensor-only LSTM,1,46,11,0.3229233944767955,1.7159237284642845
Sensor-only LSTM,1,46,12,0.30954931194345303,1.9901667458768662
Sensor-only LSTM,1,46,13,0.32306127833044396,1.432884396059708
Sensor-only LSTM,1,46,14,0.3131655460867348,1.9162928500765275
Sensor-only LSTM,1,46,15,0.3156568794379522,2.160606312395642
Sensor-only LSTM,1,46,16,0.31009382372412736,2.1573595688902856
Sensor-only LSTM,1,46,17,0.30354302095164526,2.2022133483951696
Sensor-only LSTM,1,46,18,0.30483271738773193,2.3445269672250846
Sensor-only LSTM,1,46,19,0.3110729673691781,2.4056960806031897
Sensor-only LSTM,1,46,20,0.30454861875829664,3.1019317971335516
Sensor-only LSTM,1,46,21,0.4135667685359753,1.864959922414156
Sensor-only LSTM,1,46,22,0.3204522230381749,1.864490098048556
Sensor-only LSTM,1,46,23,0.3081045548854279,2.4819946463690363
Sensor-only LSTM,1,46,24,0.2951830578062954,2.4892161532268084
Sensor-only LSTM,1,46,25,0.29520076692910796,2.6126176363454676
Sensor-only LSTM,1,46,26,0.28243576833316175,2.7152386868462375
Sensor-only LSTM,1,46,27,0.27144461780383283,2.778221530828086
Sensor-only LSTM,1,46,28,0.38890439202278154,0.614546753950339
Sensor-only LSTM,1,46,29,0.43224871525172087,0.6532111993875643
Sensor-only LSTM,1,46,30,0.3743561410412724,0.7216292015536526
Sensor-only LSTM,1,46,31,0.3321549039411955,0.9470052277704455
Sensor-only LSTM,1,46,32,0.3026909553440148,1.1643595602714791
Sensor-only LSTM,1,46,33,0.2927889902543318,1.3329302043784839
Sensor-only LSTM,1,46,34,0.3244880443716108,1.2283568154216062
Sensor-only LSTM,1,46,35,0.2983231603512758,1.2761218335081197
Sensor-only LSTM,1,46,36,0.27591401232271323,1.4650463758024779
Sensor-only LSTM,1,46,37,0.29534290945397973,1.24416931479607
Sensor-only LSTM,1,46,38,0.293845568580821,1.3461377117743782
Sensor-only LSTM,1,46,39,0.2704938580665788,1.4179349996508792
Sensor-only LSTM,1,46,40,0.2591433651736155,1.6687318074128412
Sensor-only LSTM,1,46,41,0.27686373695162975,1.5212232205290463
Sensor-only LSTM,1,46,42,0.25723082413679266,1.6408009576909948
Sensor-only LSTM,1,46,43,0.2376964275540754,2.227205888467765
Sensor-only LSTM,1,46,44,0.23210093355193495,2.7914882977990985
Sensor-only LSTM,1,46,45,0.22438132755577492,2.707805672937719
Sensor-only LSTM,1,46,46,0.23066717448563007,2.431707026479879
Sensor-only LSTM,1,46,47,0.23556982781760955,2.2028217686484695
Sensor-only LSTM,1,46,48,0.21743070166489295,2.687973970199781
Sensor-only LSTM,1,46,49,0.2303194150713537,1.9423512408287271
Sensor-only LSTM,1,46,50,0.21812625458466317,2.386488226099834
Sensor-only LSTM,1,46,51,0.20289107158248568,3.1035179550792686
Sensor-only LSTM,1,46,52,0.19681096399548895,2.9960212080546147
Sensor-only LSTM,1,46,53,0.2064601869893983,3.6222302502556167
Sensor-only LSTM,1,46,54,0.19986200701046694,2.9744046249542095
Sensor-only LSTM,1,46,55,0.18680496924404436,3.0847582766157524
Sensor-only LSTM,1,46,56,0.18329779491250073,3.6562679524629123
Sensor-only LSTM,1,46,57,0.18511842389168334,2.910604679109665
Sensor-only LSTM,1,46,58,0.20747887230447298,3.473600019167804
Sensor-only LSTM,1,46,59,0.17836933233861113,2.9737926521016367
Sensor-only LSTM,1,46,60,0.19795986280523398,1.3797121568420898
Sensor-only LSTM,1,47,1,1.1655746609669038,1.0503482511208493
Sensor-only LSTM,1,47,2,0.7566356502042632,1.2564142562558316
Sensor-only LSTM,1,47,3,0.6813677294961055,1.11453228164269
Sensor-only LSTM,1,47,4,0.5771429164823131,1.1935225512746495
Sensor-only LSTM,1,47,5,0.455459457775177,1.107786932331461
Sensor-only LSTM,1,47,6,0.40222214105531007,1.0989014350455761
Sensor-only LSTM,1,47,7,0.35421440635806667,1.0609806516135514
Sensor-only LSTM,1,47,8,0.3422201099137685,1.273709720035769
Sensor-only LSTM,1,47,9,0.322138266149922,1.299022675591445
Sensor-only LSTM,1,47,10,0.3152470971018919,1.173431496418997
Sensor-only LSTM,1,47,11,0.32643714809256436,1.3389308943063707
Sensor-only LSTM,1,47,12,0.34080106399376014,1.5482673728428547
Sensor-only LSTM,1,47,13,0.32254372117410873,1.9181607247835935
Sensor-only LSTM,1,47,14,0.2920438187588625,1.8681204774157307
Sensor-only LSTM,1,47,15,0.28316829066728166,1.8419252058151383
Sensor-only LSTM,1,47,16,0.2897686759997411,2.038166891963102
Sensor-only LSTM,1,47,17,0.2799286821085002,2.0589572703563443
Sensor-only LSTM,1,47,18,0.26781207698810877,2.178694413752301
Sensor-only LSTM,1,47,19,0.2706988808706971,2.175592563952665
Sensor-only LSTM,1,47,20,0.2615285695955469,2.1178962890082187
Sensor-only LSTM,1,47,21,0.25601878632112035,2.3697970841759406
Sensor-only LSTM,1,47,22,0.25124230654623825,2.45709264367444
Sensor-only LSTM,1,47,23,0.2620473351022561,2.78621774468282
Sensor-only LSTM,1,47,24,0.3802839876284312,2.6875295322271264
Sensor-only LSTM,1,47,25,0.25445384886871847,2.7666636100917494
Sensor-only LSTM,1,47,26,0.25344269903236943,2.661888062860231
Sensor-only LSTM,1,47,27,0.24026593067402624,2.7996348158243567
Sensor-only LSTM,1,47,28,0.23559906525218913,2.8277866594509007
Sensor-only LSTM,1,47,29,0.2302145205373987,2.886524239519857
Sensor-only LSTM,1,47,30,0.2241949228086448,3.0343733885534405
Sensor-only LSTM,1,47,31,0.2179768446553384,3.2159528103608257
Sensor-only LSTM,1,47,32,0.22294627949320522,3.3303354981685334
Sensor-only LSTM,1,47,33,0.22963537044850663,2.864815201836812
Sensor-only LSTM,1,47,34,0.2355457701219697,2.5072039023072965
Sensor-only LSTM,1,47,35,0.21773081753966553,3.0238387788679115
Sensor-only LSTM,1,47,36,0.20074403440856992,3.3094001418014742
Sensor-only LSTM,1,47,37,0.20375774887380124,3.2588566752537242
Sensor-only LSTM,1,47,38,0.1964958892152318,3.9057317484849654
Sensor-only LSTM,1,47,39,0.22388994479311347,3.0920902599953504
Sensor-only LSTM,1,47,40,0.19810269087516366,3.7843725756279327
Sensor-only LSTM,1,47,41,0.1816631411311078,3.7312724187626527
Sensor-only LSTM,1,47,42,0.18766186227804327,3.6398722979570084
Sensor-only LSTM,1,47,43,0.24173505376992338,3.150281562432803
Sensor-only LSTM,1,47,44,0.1856827482141252,3.498135029519879
Sensor-only LSTM,1,47,45,0.17661624335824783,3.170138365099015
Sensor-only LSTM,1,47,46,0.18172535332329892,3.5352422590650603
Sensor-only LSTM,1,47,47,0.1652972079437744,3.73308960193733
Sensor-only LSTM,1,47,48,0.15442608466410843,3.9547697785827847
Sensor-only LSTM,1,47,49,0.1490449973944515,4.140217232191837
Sensor-only LSTM,1,47,50,0.18243150770902486,3.943276561374934
Sensor-only LSTM,1,47,51,0.1553660490782645,4.331462819808684
Sensor-only LSTM,1,47,52,0.13720530993677446,4.701602764786914
Sensor-only LSTM,1,47,53,0.13166184192763924,4.730791181122857
Sensor-only LSTM,1,47,54,0.13920776074956118,4.792189864976726
Sensor-only LSTM,1,47,55,0.1431478627145217,4.482312551115794
Sensor-only LSTM,1,47,56,0.1317754723269121,3.4317824187175034
Sensor-only LSTM,1,47,57,0.1624822628857318,3.1314465377003393
Sensor-only LSTM,1,47,58,0.1723193285979908,3.451760416791874
Sensor-only LSTM,1,47,59,0.13580317496520272,3.1222992169532136
Sensor-only LSTM,1,47,60,0.11426832320725346,3.6341994777790405
Sensor-only LSTM,1,48,1,1.1590554740596082,1.1929851935344673
Sensor-only LSTM,1,48,2,0.740534296078289,1.230034600513786
Sensor-only LSTM,1,48,3,0.4959983250348477,1.1278154442645218
Sensor-only LSTM,1,48,4,0.4466216816380162,1.5888409487106516
Sensor-only LSTM,1,48,5,0.6629127798851713,1.1601214328901823
Sensor-only LSTM,1,48,6,0.4870274130525331,1.3308338135543358
Sensor-only LSTM,1,48,7,0.35226050618609817,1.2948859465821985
Sensor-only LSTM,1,48,8,0.3276383644760315,1.6860055882850782
Sensor-only LSTM,1,48,9,0.32423851880053606,1.8057460321320429
Sensor-only LSTM,1,48,10,0.31546226125508364,1.9590360373102393
Sensor-only LSTM,1,48,11,0.31406988414304576,2.131132733053381
Sensor-only LSTM,1,48,12,0.3087107621655693,2.159307559424976
Sensor-only LSTM,1,48,13,0.3108661991863673,2.5066106765212752
Sensor-only LSTM,1,48,14,0.30969153914651015,2.394148765838621
Sensor-only LSTM,1,48,15,0.30349106765907774,2.6035251735516316
Sensor-only LSTM,1,48,16,0.2958177784125597,2.542870426359167
Sensor-only LSTM,1,48,17,0.30240175182968926,2.798118617799547
Sensor-only LSTM,1,48,18,0.4250898660328995,2.7375842201634772
Sensor-only LSTM,1,48,19,0.29854806916740106,2.6567427574713527
Sensor-only LSTM,1,48,20,0.29103231074478647,2.835390040459623
Sensor-only LSTM,1,48,21,0.33004640193076445,2.571930718934261
Sensor-only LSTM,1,48,22,0.3088308789779926,2.1672863599764227
Sensor-only LSTM,1,48,23,0.29649995041949284,2.2940766190020545
Sensor-only LSTM,1,48,24,0.2844529771790147,2.596428555856211
Sensor-only LSTM,1,48,25,0.27089016555566775,2.8102583306015663
Sensor-only LSTM,1,48,26,0.2635970624097306,2.9454271614520304
Sensor-only LSTM,1,48,27,0.25768124857438596,3.0515356634897755
Sensor-only LSTM,1,48,28,0.2558413535576465,2.999789807875201
Sensor-only LSTM,1,48,29,0.253832201071331,3.098894403040784
Sensor-only LSTM,1,48,30,0.24309877334632263,3.5242259790437527
Sensor-only LSTM,1,48,31,0.2443549290097801,3.41962596739738
Sensor-only LSTM,1,48,32,0.24236990938474037,3.472782437031624
Sensor-only LSTM,1,48,33,0.23491904484096635,3.4988644818152523
Sensor-only LSTM,1,48,34,0.251110301686389,3.6288699657037324
Sensor-only LSTM,1,48,35,0.2426181418356127,3.739924594291351
Sensor-only LSTM,1,48,36,0.21828517574372475,3.7133395124843784
Sensor-only LSTM,1,48,37,0.36331109022595637,0.7957097365671234
Sensor-only LSTM,1,48,38,0.3385088044925516,0.6873603405692542
Sensor-only LSTM,1,48,39,0.3163489671504219,0.6682027603345347
Sensor-only LSTM,1,48,40,0.29849191528698027,0.6152436572675685
Sensor-only LSTM,1,48,41,0.27442078935704106,0.683877230377817
Sensor-only LSTM,1,48,42,0.2502284040731844,0.7834428700011231
Sensor-only LSTM,1,48,43,0.2424502973736872,0.8548982977179861
