configuration,fold,seed,best_epoch,best_validation_loss,training_experiments,validation_experiments,test_experiments
Sensor-only LSTM,4,46,3,0.6275586287180582,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,4,47,3,0.6449655068245573,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,4,48,5,0.6274724424010303,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,4,49,8,0.5903252624365769,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,4,50,9,0.7171885977251224,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,4,51,4,0.6448997409088807,exp_10|exp_3|exp_4|exp_5|exp_7|exp_8,exp_11|exp_2,exp_1|exp_6|exp_9
Sensor-only LSTM,5,42,2,0.8815703393278382,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,43,14,0.7890351727698584,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,44,4,0.7595664845072748,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,45,5,0.7407141089189477,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,46,4,0.7517934265376637,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,47,7,0.7623894785685109,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
Sensor-only LSTM,5,48,19,0.6518586196739469,exp_1|exp_10|exp_3|exp_6|exp_7|exp_8|exp_9,exp_11|exp_2,exp_4|exp_5
