seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,good_precision,good_recall,good_f1,good_support,defect_precision,defect_recall,defect_f1,defect_support
42,0.81170089112747,0.7496693764829437,0.8562904165857179,0.7684960844067257,0.8849706402368391,0.81170089112747,0.8277428552372352,0.5212765957446809,0.9315589353612167,0.6684856753069577,526,0.9780621572212066,0.781021897810219,0.8685064935064936,2055
43,0.9074002324680357,0.8439178219058324,0.9178022628662356,0.8719518030172726,0.9256908680301869,0.9074002324680357,0.9118639154106574,0.7058823529411765,0.935361216730038,0.8045789043336059,526,0.9819532908704883,0.9002433090024331,0.9393247017009393,2055
44,0.9062378922898101,0.8427838235589344,0.9107069838009862,0.8692325149818945,0.9225054924903305,0.9062378922898101,0.9104424362519623,0.7082111436950147,0.9182509505703422,0.7996688741721855,526,0.9773565034228542,0.9031630170316302,0.9387961557916035,2055
45,0.8849283223556761,0.8165814242508518,0.9043976020648885,0.8459725881733828,0.9145218246278682,0.8849283223556761,0.8918611225067622,0.6512549537648613,0.9372623574144486,0.7685113016367888,526,0.9819078947368421,0.8715328467153285,0.9234338747099768,2055
46,0.8946144905075553,0.8307217477869793,0.8645083400405207,0.8457191883177388,0.9016672841847719,0.8946144905075553,0.8971719873874079,0.7109634551495017,0.8136882129277566,0.7588652482269503,526,0.9504800404244568,0.9153284671532846,0.9325731284085275,2055
47,0.9166989538938396,0.8570008005399721,0.9208126335655409,0.8826684478421537,0.929965210194699,0.9166989538938396,0.9201020044990081,0.7338345864661654,0.9277566539923955,0.8194794290512175,526,0.9801670146137788,0.9138686131386862,0.9458574666330899,2055
48,0.814025571483921,0.7200735479566849,0.750246546954937,0.7324774084547918,0.8288189256804882,0.814025571483921,0.8199771567155207,0.5365079365079365,0.6425855513307985,0.5847750865051903,526,0.9036391594054332,0.8579075425790754,0.8801797304043935,2055
49,0.903525765207284,0.8397165053836717,0.90122394604646,0.8642731377733174,0.9179557662259357,0.903525765207284,0.9075132439307633,0.7076461769115442,0.8973384030418251,0.7912824811399832,526,0.9717868338557993,0.9051094890510949,0.9372637944066515,2055
50,0.8938395970554048,0.826719493367781,0.9029210957231273,0.854584971459591,0.9157278528980299,0.8938395970554048,0.899342855528196,0.6764705882352942,0.9182509505703422,0.7790322580645161,526,0.9769683985002678,0.8875912408759125,0.930137684854666,2055
51,0.8826036419992251,0.8133943062683686,0.89657239599234,0.8418665115345162,0.9103888748590924,0.8826036419992251,0.8894138951074475,0.6496644295302013,0.9201520912547528,0.7616050354051928,526,0.9771241830065359,0.872992700729927,0.9221279876638396,2055
