metric,mean_percent,sd_percent,ci95_lower_percent,ci95_upper_percent,mean_plus_minus_sd
accuracy,83.56838434715226,3.743556613803165,81.24810391906881,85.88866477523571,83.57 ± 3.74
macro_precision,84.24213832471476,3.016370306488649,82.37257263945392,86.1117040099756,84.24 ± 3.02
macro_recall,85.86317495361091,3.316769937605331,83.80741964799985,87.91893025922197,85.86 ± 3.32
macro_f1,84.2115329666464,3.3388999760370006,82.14206132110972,86.28100461218308,84.21 ± 3.34
weighted_f1,83.5148625827579,3.6991266203043773,81.22212014994746,85.80760501556834,83.51 ± 3.70
