class_id,class_name,support,precision_mean_percent,precision_sd_percent,precision_ci95_lower_percent,precision_ci95_upper_percent,precision_mean_plus_minus_sd,recall_mean_percent,recall_sd_percent,recall_ci95_lower_percent,recall_ci95_upper_percent,recall_mean_plus_minus_sd,specificity_mean_percent,specificity_sd_percent,specificity_ci95_lower_percent,specificity_ci95_upper_percent,specificity_mean_plus_minus_sd,f1_mean_percent,f1_sd_percent,f1_ci95_lower_percent,f1_ci95_upper_percent,f1_mean_plus_minus_sd
0,Good,526,66.01712218946378,7.430959439566867,61.41136581170929,70.62287856721827,66.02 ± 7.43,88.42205323193916,9.231990841806986,82.7000060259458,94.14410043793252,88.42 ± 9.23,88.08759124087591,4.003814560789616,85.6060012660317,90.56918121572012,88.09 ± 4.00,75.36284293842589,7.240971398246704,70.8748423686695,79.85084350818227,75.36 ± 7.24
1,Burr,948,87.81498431554131,5.652852122505069,84.3113102708276,91.31865836025501,87.81 ± 5.65,68.39662447257383,7.187321950209147,63.94187617521533,72.85137276993234,68.40 ± 7.19,94.45192896509491,2.8113046453100465,92.70946429343977,96.19439363675005,94.45 ± 2.81,76.74887900676026,6.035057590574959,73.00831155864532,80.4894464548752,76.75 ± 6.04
2,Flash-burr,458,87.6255796676322,4.884417556881497,84.59818630111232,90.65297303415207,87.63 ± 4.88,87.882096069869,2.567501569485101,86.29074211016551,89.47345002957248,87.88 ± 2.57,97.24446537918041,1.279081744209606,96.45168230063274,98.03724845772808,97.24 ± 1.28,87.64169841314575,2.172054867468253,86.29544485867099,88.9879519676205,87.64 ± 2.17
3,Surface-groove/void,649,95.51086712622171,0.8316441629906727,94.99540873368609,96.02632551875733,95.51 ± 0.83,98.75192604006163,1.8439267313822094,97.60904841137273,99.89480366875054,98.75 ± 1.84,98.43685300207038,0.31512629556469085,98.2415357005296,98.63217030361116,98.44 ± 0.32,97.09271150825371,0.8791465506222363,96.54781083083255,97.63761218567488,97.09 ± 0.88
