feature,mean,scale
sensor_force,3526.350388143966,923.4398787255179
sensor_rpm,1199.3981298517995,344.90970584128513
sensor_torque,16.265206430152574,9.362798104923323
sensor_temp,490.3927804994011,73.3297627445418
weld_width_mm,10.67851715591817,1.6375642204684435
weld_area_mm2,71.64819262418094,8.017866083066782
Burrs_area_mm2,4.0713149654167005,5.669557064667793
flash_burr_area_mm2,8.198329611483306,19.81902577811507
surface_groove_void_area_mm2,1.2060891996072731,2.8467084596571905
total_defect_area_mm2,13.475733782989337,19.186446136802346
