feature,mean,scale
weld_width_mm,10.503135627468062,1.9189555513084
weld_area_mm2,71.0706431870796,8.291094162201958
Burrs_area_mm2,3.750854129197036,5.644283466486913
flash_burr_area_mm2,9.603532277389403,19.29555759854418
surface_groove_void_area_mm2,1.9985482177202125,3.397710711526967
total_defect_area_mm2,15.352934624756877,18.333616929369224
weld_width_mm_diff,0.003947441898491405,0.8409455481744913
weld_area_mm2_diff,0.07324632147433957,2.1258037235467455
Burrs_area_mm2_diff,0.0006703308655646137,1.75397571298192
flash_burr_area_mm2_diff,-0.03951022343704369,3.7913024621022813
surface_groove_void_area_mm2_diff,-0.00019700267154222143,0.7127702719971243
total_defect_area_mm2_diff,-0.039036894679569355,4.082433165085065
