feature,mean,scale
sensor_force,3877.752346130408,1088.2543092180467
sensor_rpm,1259.5819622181596,294.6500328874622
sensor_torque,16.095444265368016,9.66406948624073
sensor_temp,514.7342525726262,68.95265226405267
weld_width_mm,11.202958686158542,1.3758832880694178
weld_area_mm2,74.95994016779842,6.470131463393979
Burrs_area_mm2,5.708714855703401,6.647072752791987
flash_burr_area_mm2,9.542006026528943,19.27022287495943
surface_groove_void_area_mm2,0.9497854601639498,2.5151676736157014
total_defect_area_mm2,16.200506341985854,17.959496363683225
sensor_force_diff,-0.38674588665447895,163.01961016336182
sensor_rpm_diff,0.002650822669104205,1.0021118677896597
sensor_torque_diff,-0.0008190123801330181,4.614872626009632
sensor_temp_diff,0.023304001630796375,1.2506608652399074
weld_width_mm_diff,0.001959784662874278,0.594398559385301
weld_area_mm2_diff,0.07057004415547785,2.1108132141454408
Burrs_area_mm2_diff,0.00876204417854585,2.1550437090964354
flash_burr_area_mm2_diff,-0.03904469916767269,3.8120136081278524
surface_groove_void_area_mm2_diff,0.0012632042455891605,0.5440238220009425
total_defect_area_mm2_diff,-0.029019450514168987,4.237705251001881
