feature,mean,scale
sensor_force,3797.174323493235,1103.9755342766955
sensor_rpm,1232.9908979089792,327.313363310308
sensor_torque,15.989950219532165,9.689834450229233
sensor_temp,507.7552726285777,77.12573447903823
weld_width_mm,11.049345081216147,1.4669585901349156
weld_area_mm2,74.04902722357531,7.556506555072567
Burrs_area_mm2,5.6357808569443915,6.611017605520438
flash_burr_area_mm2,9.365962622493395,19.229894301704988
surface_groove_void_area_mm2,0.9585473186525472,2.5250798671044414
total_defect_area_mm2,15.960290798863802,17.991314852502974
