feature,mean,scale
sensor_force,3877.752346130408,1088.2543092180467
sensor_rpm,1259.5819622181596,294.6500328874622
sensor_torque,16.095444265368016,9.66406948624073
sensor_temp,514.7342525726262,68.95265226405267
weld_width_mm,11.202958686158542,1.3758832880694178
weld_area_mm2,74.95994016779842,6.470131463393979
Burrs_area_mm2,5.708714855703401,6.647072752791987
flash_burr_area_mm2,9.542006026528943,19.27022287495943
surface_groove_void_area_mm2,0.9497854601639498,2.5151676736157014
total_defect_area_mm2,16.200506341985854,17.959496363683225
