feature,mean,scale
sensor_force,3522.3750917992656,952.6289628628301
sensor_rpm,1175.5463280293757,326.5448532483187
sensor_torque,15.99071391718861,9.43077885587829
sensor_temp,487.0985868792493,68.55993467258936
weld_width_mm,10.587166864701263,1.8299681465188395
weld_area_mm2,72.49225981893562,7.2123799460933755
Burrs_area_mm2,5.673980378001162,6.580480237682702
flash_burr_area_mm2,3.357705706730029,8.705132804767905
surface_groove_void_area_mm2,1.9997713194446436,3.3983903976805037
total_defect_area_mm2,11.031457402144024,9.366026002582142
